year,player_id,nick,nationality,teams,hltv_rating,maps,shrunk,z,game_rating
2015,2757,GuardiaN,Slovakia,Natus Vincere,1.18,94,1.110,+2.58,76
2015,3741,NiKo,Bosnia and Herzegovina,MOUZ,1.15,65,1.076,+1.88,69
2015,7592,device,Denmark,?,1.14,120,1.093,+2.22,72
2015,798,oskar,Czech Republic,HellRaisers,1.14,62,1.068,+1.73,67
2015,7998,s1mple,Ukraine,HellRaisers,1.13,35,1.041,+1.18,62
2015,7167,kennyS,France,Envy,1.13,95,1.078,+1.93,69
2015,885,olofmeister,Sweden,fnatic,1.11,115,1.070,+1.77,68
2015,29,f0rest,Sweden,Ninjas in Pyjamas,1.11,71,1.056,+1.48,65
2015,8183,rain,Norway,G2|Kinguin,1.11,74,1.057,+1.51,65
2015,8095,aizy,Denmark,G2|Dignitas,1.10,78,1.053,+1.41,64
2015,7528,KRIMZ,Sweden,fnatic,1.10,112,1.063,+1.62,66
2015,7429,Happy,France,Envy,1.10,98,1.059,+1.54,65
2015,973,SZPERO,Poland,CSGL,1.10,51,1.040,+1.16,62
2015,7403,WorldEdit,Russia,FlipSid3,1.09,50,1.035,+1.05,60
2015,9216,coldzera,Brazil,Luminosity,1.08,72,1.039,+1.13,61
2015,7594,flamie,Russia,Natus Vincere,1.08,94,1.045,+1.26,63
2015,7687,nitr0,United States,Liquid,1.08,78,1.041,+1.17,62
2015,9078,k0nfig,Denmark,Dignitas,1.07,32,1.015,+0.64,56
2015,3055,flusha,Sweden,fnatic,1.07,117,1.043,+1.21,62
2015,7440,Skadoodle,United States,Cloud9,1.07,37,1.018,+0.71,57
2015,334,AdreN,Kazakhstan,HellRaisers|Nostalgie,1.07,24,1.009,+0.52,55
2015,8346,jdm64,United States,CLG,1.06,53,1.021,+0.77,58
2015,39,GeT_RiGhT,Sweden,Ninjas in Pyjamas,1.06,75,1.028,+0.91,59
2015,8412,dream3r,Bulgaria,E-frag.net,1.05,53,1.016,+0.66,57
2015,7398,dupreeh,Denmark,?,1.05,120,1.029,+0.94,59
2015,2553,Snax,Poland,Virtus.pro,1.05,96,1.026,+0.87,59
2015,4954,Xyp9x,Denmark,?,1.04,120,1.022,+0.79,58
2015,7168,NBK-,France,Envy,1.04,101,1.020,+0.75,57
2015,7356,MICHU,Poland,CSGL|Poland,1.04,50,1.010,+0.54,55
2015,2730,chrisJ,Netherlands,MOUZ,1.04,65,1.014,+0.62,56
2015,1225,shox,France,Titan,1.04,89,1.018,+0.71,57
2015,8323,mouz,Poland,CSGL,1.04,21,0.997,+0.29,53
2015,2131,bondik,Ukraine,FlipSid3,1.04,50,1.010,+0.54,55
2015,8248,jkaem,Norway,G2,1.04,54,1.011,+0.56,56
2015,1146,dennis,Sweden,fnatic|G2|Kinguin,1.03,111,1.014,+0.63,56
2015,7390,ScreaM,Belgium,Titan|Kinguin,1.03,84,1.011,+0.57,56
2015,2644,Hiko,United States,Liquid,1.03,78,1.010,+0.55,56
2015,9032,Magisk,Denmark,SK,1.03,26,0.997,+0.28,53
2015,1485,RUBINO,Norway,Dignitas,1.02,30,0.995,+0.23,52
2015,695,allu,Finland,Ninjas in Pyjamas,1.02,71,1.003,+0.41,54
2015,3347,seized,Russia,Natus Vincere,1.02,94,1.006,+0.46,55
2015,7322,apEX,France,Envy,1.02,101,1.007,+0.48,55
2015,8564,fer,Brazil,Luminosity,1.02,72,1.003,+0.41,54
2015,2469,cajunb,Denmark,?,1.01,123,1.001,+0.37,54
2015,2023,FalleN,Brazil,Luminosity,1.01,72,0.997,+0.29,53
2015,629,fox,Portugal,G2|Kinguin,1.01,79,0.998,+0.31,53
2015,8151,AcilioN,Denmark,SK,1.01,26,0.990,+0.14,51
2015,3849,JW,Sweden,fnatic,1.01,115,1.001,+0.36,54
2015,8394,Kjaerbye,Denmark,Dignitas,1.00,83,0.992,+0.19,52
2015,7154,Pimp,Denmark,Dignitas,1.00,56,0.990,+0.15,51
2015,8520,NAF,Canada,Conquest,1.00,24,0.986,+0.06,51
2015,8349,shroud,Canada,Cloud9,0.99,37,0.984,+0.02,50
2015,317,pashaBiceps,Poland,Virtus.pro,0.99,98,0.986,+0.07,51
2015,5386,byali,Poland,Virtus.pro,0.99,98,0.986,+0.07,51
2015,7805,RUSH,United States,Conquest,0.99,24,0.983,-0.00,50
2015,557,fnx,Brazil,Luminosity,0.98,20,0.980,-0.07,49
2015,203,n0thing,United States,Cloud9,0.98,37,0.980,-0.07,49
2015,429,karrigan,Denmark,?,0.98,120,0.980,-0.07,49
2015,4959,kioShiMa,France,Envy,0.98,96,0.980,-0.07,49
2015,5287,TENZKI,Denmark,Dignitas,0.98,39,0.980,-0.07,49
2015,7256,nex,Germany,MOUZ,0.98,65,0.980,-0.07,49
2015,8523,tarik,United States,CLG,0.97,53,0.975,-0.17,48
2015,7810,ShahZaM,United States,Conquest,0.97,24,0.976,-0.14,49
2015,338,markeloff,Ukraine,FlipSid3,0.97,50,0.975,-0.17,48
2015,7433,adreN,United States,Liquid,0.97,78,0.974,-0.19,48
2015,7834,v1c7oR,Bulgaria,E-frag.net,0.97,53,0.975,-0.17,48
2015,884,Xizt,Sweden,Ninjas in Pyjamas,0.97,73,0.974,-0.19,48
2015,7,Friis,Denmark,SK,0.96,25,0.973,-0.21,48
2015,165,NEO,Poland,Virtus.pro,0.96,98,0.967,-0.33,47
2015,8738,EliGE,United States,Liquid,0.96,76,0.968,-0.31,47
2015,1045,Maikelele,Sweden,G2|Kinguin,0.96,83,0.967,-0.32,47
2015,7169,RpK,France,Titan,0.96,84,0.967,-0.32,47
2015,7964,cadiaN,Denmark,SK,0.96,24,0.973,-0.20,48
2015,5388,rallen,Poland,Vexed,0.96,31,0.972,-0.22,48
2015,3669,innocent,Poland,CSGL,0.95,51,0.965,-0.37,46
2015,3847,znajder,Sweden,HellRaisers|Dignitas,0.95,71,0.962,-0.42,46
2015,8522,FugLy,United States,Liquid,0.95,78,0.961,-0.44,46
2015,339,ANGE1,Ukraine,HellRaisers,0.95,85,0.961,-0.45,46
2015,483,Edward,Ukraine,Natus Vincere,0.94,94,0.954,-0.60,44
2015,8137,reltuC,United States,CLG,0.94,53,0.959,-0.48,45
2015,8327,Furlan,Poland,Vexed|Poland,0.94,36,0.963,-0.41,46
2015,161,TaZ,Poland,Virtus.pro,0.94,98,0.953,-0.60,44
2015,8347,hazed,United States,CLG,0.94,53,0.959,-0.48,45
2015,964,mou,Kazakhstan,HellRaisers,0.94,24,0.967,-0.33,47
2015,7808,freakazoid,United States,Cloud9,0.93,37,0.958,-0.50,45
2015,3183,spyleadeR,Bulgaria,E-frag.net,0.93,53,0.954,-0.59,44
2015,2799,bubble,Bulgaria,E-frag.net,0.92,53,0.949,-0.69,43
2015,484,Zeus,Ukraine,Natus Vincere,0.92,94,0.941,-0.86,41
2015,8568,boltz,Brazil,Luminosity,0.92,52,0.949,-0.69,43
2015,8124,DavCost,Russia,FlipSid3,0.92,43,0.952,-0.63,44
2015,7166,Ex6TenZ,Belgium,Titan,0.90,84,0.930,-1.08,39
2015,8507,stanislaw,Canada,Conquest,0.90,23,0.954,-0.58,44
2015,7148,friberg,Sweden,Ninjas in Pyjamas,0.90,71,0.933,-1.02,40
2015,6904,STYKO,Slovakia,HellRaisers,0.90,59,0.936,-0.94,41
2015,7170,SmithZz,France,Titan,0.89,88,0.922,-1.23,38
2015,823,Maniac,Switzerland,Titan,0.89,26,0.949,-0.69,43
2015,6451,FNS,Canada,CLG,0.89,53,0.933,-1.01,40
2015,1916,seang@res,United States,Cloud9,0.88,30,0.942,-0.83,42
2015,8321,oskarish,Poland,CSGL,0.88,35,0.938,-0.90,41
2015,7382,steel,Brazil,Luminosity,0.86,52,0.919,-1.31,37
2015,7369,peet,Poland,Vexed|Poland,0.86,32,0.933,-1.02,40
2015,7511,denis,Germany,MOUZ,0.86,65,0.912,-1.44,36
2015,302,kUcheR,Russia,HellRaisers,0.85,83,0.899,-1.71,33
2015,7368,Hyper,Poland,Vexed,0.85,31,0.930,-1.08,39
2015,545,MODDII,Sweden,SK,0.85,26,0.935,-0.97,40
2015,7156,MSL,Denmark,Dignitas,0.85,86,0.898,-1.73,33
2015,8521,daps,Canada,Conquest,0.83,24,0.931,-1.06,39
2015,41,pronax,Sweden,fnatic,0.82,68,0.888,-1.94,31
2015,8570,GruBy,Poland,Vexed,0.81,31,0.915,-1.39,36
2015,472,B1ad3,Ukraine,FlipSid3,0.81,50,0.895,-1.79,32
2015,5327,nkl,Bulgaria,E-frag.net,0.78,53,0.877,-2.15,28
2015,9217,TACO,Brazil,Luminosity,0.74,20,0.911,-1.46,35
2015,136,gob b,Germany,MOUZ,0.73,61,0.842,-2.85,21
2015,163,Loord,Poland,CSGL,0.69,37,0.856,-2.57,24
2016,798,oskar,Czech Republic,HellRaisers|MOUZ,1.19,109,1.127,+2.15,72
2016,9216,coldzera,Brazil,Luminosity,1.19,186,1.148,+2.48,75
2016,7592,device,Denmark,Astralis,1.17,225,1.137,+2.32,73
2016,3741,NiKo,Bosnia and Herzegovina,MOUZ,1.16,188,1.124,+2.11,71
2016,7998,s1mple,Ukraine,Natus Vincere|Liquid,1.13,106,1.085,+1.48,65
2016,1225,shox,France,G2,1.12,205,1.095,+1.63,66
2016,8565,HEN1,Brazil,Immortals|Tempo Storm,1.12,152,1.088,+1.52,65
2016,8735,autimatic,United States,Cloud9,1.11,106,1.072,+1.26,63
2016,7390,ScreaM,Belgium,G2,1.11,205,1.087,+1.50,65
2016,2023,FalleN,Brazil,Luminosity,1.10,186,1.077,+1.35,63
2016,9032,Magisk,Denmark,Dignitas,1.10,208,1.079,+1.38,64
2016,7167,kennyS,France,Envy,1.10,195,1.078,+1.36,64
2016,3055,flusha,Sweden,GODSENT|fnatic,1.10,191,1.077,+1.35,64
2016,7443,twist,Sweden,fnatic|GODSENT,1.09,83,1.053,+0.96,60
2016,29,f0rest,Sweden,Ninjas in Pyjamas,1.09,193,1.070,+1.23,62
2016,1146,dennis,Sweden,fnatic,1.08,174,1.060,+1.08,61
2016,8394,Kjaerbye,Denmark,Astralis|Dignitas,1.08,226,1.064,+1.14,61
2016,2757,GuardiaN,Slovakia,Natus Vincere,1.08,145,1.057,+1.03,60
2016,39,GeT_RiGhT,Sweden,Ninjas in Pyjamas,1.07,193,1.054,+0.98,60
2016,885,olofmeister,Sweden,fnatic,1.07,142,1.049,+0.91,59
2016,7398,dupreeh,Denmark,Astralis,1.07,220,1.055,+1.00,60
2016,8370,mixwell,Spain,OpTic,1.07,146,1.050,+0.91,59
2016,9078,k0nfig,Denmark,Dignitas,1.07,263,1.057,+1.03,60
2016,2469,cajunb,Denmark,Dignitas|Astralis,1.07,255,1.057,+1.03,60
2016,7403,WorldEdit,Russia,FlipSid3,1.07,145,1.050,+0.91,59
2016,8183,rain,Norway,FaZe,1.06,196,1.046,+0.85,59
2016,9031,valde,Denmark,X,1.06,108,1.038,+0.72,57
2016,8564,fer,Brazil,Luminosity,1.06,182,1.045,+0.84,58
2016,7594,flamie,Russia,Natus Vincere,1.05,149,1.035,+0.68,57
2016,8568,boltz,Brazil,Immortals|Tempo Storm,1.05,152,1.035,+0.68,57
2016,8349,shroud,Canada,Cloud9,1.04,176,1.029,+0.58,56
2016,3849,JW,Sweden,GODSENT|fnatic,1.04,191,1.030,+0.59,56
2016,334,AdreN,Kazakhstan,Gambit,1.04,80,1.021,+0.45,55
2016,3847,znajder,Sweden,GODSENT,1.03,96,1.016,+0.38,54
2016,6904,STYKO,Slovakia,HellRaisers,1.03,113,1.018,+0.40,54
2016,8797,Stewie2K,United States,Cloud9,1.03,176,1.021,+0.46,55
2016,2553,Snax,Poland,Virtus.pro,1.03,187,1.022,+0.46,55
2016,557,fnx,Brazil,Luminosity,1.03,180,1.021,+0.46,55
2016,2730,chrisJ,Netherlands,MOUZ,1.03,188,1.022,+0.46,55
2016,7256,nex,Germany,MOUZ,1.03,115,1.018,+0.40,54
2016,695,allu,Finland,FaZe,1.03,105,1.017,+0.39,54
2016,9219,felps,Brazil,Immortals|Tempo Storm,1.02,152,1.013,+0.32,53
2016,7805,RUSH,United States,OpTic,1.02,165,1.013,+0.33,53
2016,964,mou,Kazakhstan,Gambit,1.01,80,1.002,+0.16,52
2016,7440,Skadoodle,United States,Cloud9,1.01,176,1.006,+0.21,52
2016,8738,EliGE,United States,Liquid,1.00,136,0.997,+0.07,51
2016,7429,Happy,France,Envy,1.00,193,0.998,+0.08,51
2016,9261,Lekr0,Sweden,GODSENT|fnatic,1.00,96,0.997,+0.06,51
2016,5386,byali,Poland,Virtus.pro,1.00,187,0.998,+0.08,51
2016,8095,aizy,Denmark,FaZe,1.00,205,0.998,+0.09,51
2016,8523,tarik,United States,OpTic|CLG,1.00,178,0.998,+0.08,51
2016,4954,Xyp9x,Denmark,Astralis,0.99,225,0.990,-0.04,50
2016,2131,bondik,Ukraine,HellRaisers|FlipSid3,0.99,127,0.990,-0.04,50
2016,483,Edward,Ukraine,Natus Vincere,0.99,149,0.990,-0.04,50
2016,8520,NAF,Canada,OpTic,0.99,165,0.990,-0.04,50
2016,7528,KRIMZ,Sweden,fnatic|GODSENT,0.99,178,0.990,-0.04,50
2016,545,MODDII,Sweden,X,0.99,189,0.990,-0.04,50
2016,7322,apEX,France,Envy,0.98,195,0.982,-0.17,48
2016,2644,Hiko,United States,Liquid,0.97,136,0.975,-0.28,47
2016,3347,seized,Russia,Natus Vincere,0.97,149,0.975,-0.28,47
2016,7687,nitr0,United States,Liquid,0.97,136,0.975,-0.28,47
2016,884,Xizt,Sweden,Ninjas in Pyjamas,0.97,193,0.974,-0.30,47
2016,203,n0thing,United States,Cloud9,0.97,176,0.975,-0.29,47
2016,7169,RpK,France,G2,0.97,202,0.974,-0.30,47
2016,1485,RUBINO,Norway,Dignitas,0.97,245,0.973,-0.31,47
2016,161,TaZ,Poland,Virtus.pro,0.96,187,0.966,-0.42,46
2016,9217,TACO,Brazil,Luminosity,0.96,186,0.966,-0.42,46
2016,7412,gla1ve,Denmark,Astralis|X,0.96,132,0.968,-0.39,46
2016,7527,pyth,Sweden,Ninjas in Pyjamas,0.96,133,0.968,-0.39,46
2016,8507,stanislaw,Canada,OpTic,0.96,154,0.967,-0.41,46
2016,8566,LUCAS1,Brazil,Immortals|Tempo Storm,0.96,150,0.968,-0.40,46
2016,8248,jkaem,Norway,FaZe,0.96,162,0.967,-0.41,46
2016,8346,jdm64,United States,Liquid|CLG,0.96,147,0.968,-0.40,46
2016,8374,bodyy,France,G2,0.96,151,0.968,-0.40,46
2016,8413,Zero,Slovakia,HellRaisers,0.95,113,0.962,-0.49,45
2016,165,NEO,Poland,Virtus.pro,0.95,187,0.959,-0.55,45
2016,7154,Pimp,Denmark,Liquid,0.95,134,0.961,-0.51,45
2016,7168,NBK-,France,Envy,0.95,191,0.958,-0.55,44
2016,7148,friberg,Sweden,Ninjas in Pyjamas,0.94,190,0.951,-0.68,43
2016,338,markeloff,Ukraine,FlipSid3,0.94,143,0.953,-0.64,44
2016,4959,kioShiMa,France,FaZe,0.94,190,0.951,-0.68,43
2016,7499,Spiidi,Germany,MOUZ,0.94,186,0.951,-0.67,43
2016,629,fox,Portugal,FaZe,0.93,99,0.950,-0.68,43
2016,7,Friis,Denmark,X,0.93,188,0.943,-0.80,42
2016,484,Zeus,Ukraine,Gambit|Natus Vincere,0.93,113,0.949,-0.71,43
2016,317,pashaBiceps,Poland,Virtus.pro,0.93,187,0.943,-0.80,42
2016,5287,TENZKI,Denmark,Dignitas,0.92,131,0.939,-0.85,41
2016,339,ANGE1,Ukraine,HellRaisers,0.92,115,0.941,-0.82,42
2016,735,Dosia,Russia,Gambit,0.91,80,0.941,-0.83,42
2016,7170,SmithZz,France,G2,0.91,205,0.926,-1.07,39
2016,1045,Maikelele,Sweden,Ninjas in Pyjamas|FaZe|G2,0.91,75,0.942,-0.81,42
2016,2031,wenton,Sweden,fnatic,0.90,69,0.938,-0.88,41
2016,429,karrigan,Denmark,FaZe|Astralis,0.90,229,0.916,-1.23,38
2016,8347,hazed,United States,CLG,0.89,84,0.927,-1.05,40
2016,7511,denis,Germany,MOUZ,0.89,188,0.911,-1.31,37
2016,8569,DEVIL,France,Envy,0.88,95,0.918,-1.20,38
2016,9220,SHOOWTiME,Brazil,Tempo Storm|Immortals,0.88,82,0.922,-1.14,39
2016,7808,freakazoid,United States,Cloud9|Echo Fox,0.87,71,0.920,-1.17,38
2016,8522,FugLy,United States,CLG,0.86,65,0.917,-1.22,38
2016,7796,wayLander,Russia,FlipSid3|Gambit,0.86,113,0.900,-1.49,35
2016,922,Snappi,Denmark,X,0.86,97,0.904,-1.42,36
2016,8151,AcilioN,Denmark,SK,0.86,92,0.906,-1.39,36
2016,1866,Shara,Ukraine,FlipSid3,0.85,114,0.893,-1.60,34
2016,8137,reltuC,United States,CLG,0.85,85,0.902,-1.45,35
2016,8521,daps,Canada,OpTic,0.85,83,0.903,-1.44,36
2016,7156,MSL,Denmark,Dignitas,0.83,263,0.856,-2.20,28
2016,499,hooch,Russia,Gambit,0.82,64,0.895,-1.57,34
2016,41,pronax,Sweden,GODSENT,0.82,96,0.878,-1.83,32
2016,472,B1ad3,Ukraine,FlipSid3,0.78,145,0.834,-2.55,25
2017,7938,XANTARES,Türkiye,Space Soldiers,1.29,85,1.200,+2.69,77
2017,3741,NiKo,Bosnia and Herzegovina,FaZe|MOUZ,1.23,229,1.197,+2.65,76
2017,7998,s1mple,Ukraine,Natus Vincere,1.22,143,1.175,+2.26,73
2017,9216,coldzera,Brazil,SK,1.21,199,1.177,+2.29,73
2017,8564,fer,Brazil,SK,1.20,199,1.169,+2.15,72
2017,8183,rain,Norway,FaZe,1.17,222,1.147,+1.77,68
2017,5794,tabseN,Germany,BIG,1.16,103,1.123,+1.34,63
2017,7592,device,Denmark,Astralis,1.15,176,1.127,+1.41,64
2017,8575,Calyx,Türkiye,Space Soldiers,1.15,76,1.109,+1.09,61
2017,798,oskar,Czech Republic,MOUZ,1.15,181,1.127,+1.42,64
2017,10394,Twistzz,Canada,Liquid,1.14,140,1.115,+1.21,62
2017,9353,paz,Türkiye,Space Soldiers,1.14,75,1.102,+0.98,60
2017,9078,k0nfig,Denmark,North,1.14,157,1.117,+1.24,62
