year,team,days,lineup,igl,awp,worst_conf,status
2015,CLG,197,FNS|hazed|jdm64|reltuC|tarik,FNS,jdm64,high,ok
2015,CSGL,71,Loord|MICHU|SZPERO|innocent|oskarish,,,,"NO_IGL,NO_AWP"
2015,Cloud9,210,Skadoodle|fREAKAZOiD|n0thing|sgares|shroud,sgares,Skadoodle,high,ok
2015,Conquest,63,NAF|RUSH|ShahZaM|daps|stanislaw,daps,ShahZaM,high,ok
2015,Dignitas,174,Kjaerbye|MSL|Nico|Pimp|aizy,MSL,,high,NO_AWP
2015,E-frag.net,166,bubble|dream3r|nkl|spyleadeR|v1c7oR,,,,"NO_IGL,NO_AWP"
2015,Envy,169,Happy|NBK-|SmithZz|kioShiMa|shox,Happy,SmithZz,high,ok
2015,FlipSid3,150,B1ad3|WorldEdit|bondik|markeloff|s1mple,B1ad3,WorldEdit|markeloff,medium,ok
2015,G2,103,MICHU|MINISE|SZPERO|innocent|mouz,,,,"NO_IGL,NO_AWP"
2015,HellRaisers,166,ANGE1|AdreN|Dosia|kUcheR|mou,ANGE1,,high,NO_AWP
2015,Kinguin,73,Maikelele|ScreaM|dennis|fox|rain,fox,Maikelele|fox,medium,ok
2015,Liquid,119,EliGE|FugLy|Hiko|adreN|nitr0,,,,"NO_IGL,NO_AWP"
2015,Luminosity,117,FalleN|boltz|coldzera|fer|steel,FalleN,FalleN,high,ok
2015,MOUZ,107,NiKo|chrisJ|denis|gob b|nex,gob b,chrisJ,medium,ok
2015,Natus Vincere,288,Edward|GuardiaN|Zeus|flamie|seized,Zeus,GuardiaN,high,ok
2015,Ninjas in Pyjamas,264,GeT_RiGhT|Xizt|allu|f0rest|friberg,Xizt,allu,high,ok
2015,SK,33,AcilioN|BERRY|Friis|SandeN|tenzki,AcilioN,,medium,NO_AWP
2015,Titan,200,Ex6TenZ|Maniac|RpK|apEX|kennyS,Ex6TenZ,kennyS,high,ok
