label,page,year,lineup,days,entries,anomalies
AGO,AGO esports,2018,Furlan|GruBy|TOAO|phr|snatchie,214,58,0
Astralis,Astralis,2018,Magisk|Xyp9x|dev1ce|dupreeh|gla1ve,328,65,0
BIG,BIG,2018,gob b|nex|smooya|tabseN|tiziaN,246,73,0
Cloud9,Cloud9,2018,RUSH|Skadoodle|Stewie2K|autimatic|tarik,89,79,0
ENCE,ENCE,2018,Aerial|Aleksib|allu|sergej|xseveN,272,92,0
FaZe,FaZe Clan,2018,GuardiaN|NiKo|karrigan|olofmeister|rain,259,57,0
G2,G2 Esports,2018,Ex6TenZ|SmithZz|bodyy|kennyS|shox,174,84,0
GODSENT,GODSENT,2018,Brollan|disco doplan|freddieb|hampus|twist,38,71,0
Gambit,Gambit Esports,2018,AdreN|Dosia|Hobbit|mir|mou,125,37,0
HEROIC,HEROIC,2018,AcilioN|MODDII|es3tag|friberg|mertz,94,93,0
HellRaisers,HellRaisers,2018,ANGE1|DeadFox|ISSAA|bondik|woxic,294,68,1
Liquid,Team Liquid,2018,EliGE|NAF|TACO|Twistzz|nitr0,258,69,0
MIBR,MIBR,2018,FalleN|Stewie2K|coldzera|fer|tarik,159,74,0
MOUZ,MOUZ,2018,STYKO|chrisJ|oskar|ropz|suNny,254,148,2
NRG,NRG,2018,Brehze|CeRq|Ethan|FugLy|daps,350,59,0
Natus Vincere,Natus Vincere,2018,Edward|Zeus|electroNic|flamie|s1mple,365,61,0
Ninjas in Pyjamas,Ninjas in Pyjamas,2018,GeT_RiGhT|Lekr0|REZ|dennis|f0rest,197,126,3
North,North,2018,Kjaerbye|MSL|aizy|mertz|valde,158,33,0
OpTic,OpTic Gaming,2018,JUGi|Snappi|cajunb|gade|k0nfig,156,33,2
Renegades,Renegades,2018,AZR|Nifty|USTILO|jkaem|jks,233,37,0
Space Soldiers,Space Soldiers,2018,Calyx|MAJ3R|XANTARES|ngiN|paz,1,10,0
TYLOO,TYLOO,2018,BnTeT|DD|captainMo|somebody|xccurate,306,73,4
Virtus.pro,Virtus.pro,2018,MICHU|NEO|Snax|byali|pashaBiceps,139,102,1
fnatic,Fnatic,2018,Golden|JW|KRIMZ|Lekr0|flusha,144,128,1
