year,label,page,lineup,days,entries,alts
2015,CLG,Counter Logic Gaming,FNS|hazed|jdm64|reltuC|tarik,197,16,2
2015,CSGL,Lounge Gaming,Loord|MICHU|SZPERO|innocent|oskarish,71,9,2
2015,Cloud9,Cloud9,Skadoodle|fREAKAZOiD|n0thing|sgares|shroud,210,79,2
2015,Conquest,Conquest,NAF|RUSH|ShahZaM|daps|stanislaw,63,7,2
2015,Dignitas,Dignitas,Kjaerbye|MSL|Nico|Pimp|aizy,174,152,6
2015,E-frag.net,E-Frag.net Esports Club,bubble|dream3r|nkl|spyleadeR|v1c7oR,166,6,1
2015,Envy,Team Envy,Happy|NBK-|SmithZz|kioShiMa|shox,169,43,2
2015,FlipSid3,FlipSid3 Tactics,B1ad3|WorldEdit|bondik|markeloff|s1mple,150,38,4
2015,G2,G2 Esports,MICHU|MINISE|SZPERO|innocent|mouz,103,84,6
2015,HellRaisers,HellRaisers,ANGE1|AdreN|Dosia|kUcheR|mou,166,68,6
2015,Kinguin,Devils.one,Maikelele|ScreaM|dennis|fox|rain,73,36,2
2015,Liquid,Team Liquid,EliGE|FugLy|Hiko|adreN|nitr0,119,69,4
2015,Luminosity,Luminosity Gaming,FalleN|boltz|coldzera|fer|steel,117,50,7
2015,MOUZ,MOUZ,NiKo|chrisJ|denis|gob b|nex,107,148,5
2015,Natus Vincere,Natus Vincere,Edward|GuardiaN|Zeus|flamie|seized,288,61,2
2015,Ninjas in Pyjamas,Ninjas in Pyjamas,GeT_RiGhT|Xizt|allu|f0rest|friberg,264,126,3
2015,SK,SK Gaming,AcilioN|BERRY|Friis|SandeN|tenzki,33,98,3
2015,Titan,Titan,Ex6TenZ|Maniac|RpK|apEX|kennyS,200,15,3
2015,Vexed,Vexed Gaming,Furlan|GruBy|Hyper|peet|rallen,85,57,2
2015,Virtus.pro,Virtus.pro,NEO|Snax|TaZ|byali|pashaBiceps,365,102,1
2015,fnatic,Fnatic,JW|KRIMZ|flusha|olofmeister|pronax,315,128,2
2016,Astralis,Astralis,Kjaerbye|Xyp9x|dev1ce|dupreeh|karrigan,145,65,3
2016,CLG,Counter Logic Gaming,Subroza|hazed|koosta|nahtE|reltuC,133,16,3
2016,Cloud9,Cloud9,Skadoodle|Slemmy|Stewie2K|n0thing|shroud,116,79,3
2016,Dignitas,Dignitas,MSL|Magiskb0Y|RUBINO|cajunb|k0nfig,169,152,3
2016,Envy,Team Envy,DEVIL|Happy|NBK-|apEX|kennyS,177,43,3
2016,FaZe,FaZe Clan,aizy|fox|jkaem|kioShiMa|rain,128,57,4
2016,FlipSid3,FlipSid3 Tactics,B1ad3|Shara|WorldEdit|markeloff|wayLander,153,38,2
2016,G2,G2 Esports,RpK|ScreaM|SmithZz|bodyy|shox,266,84,3
2016,GODSENT,GODSENT,Lekr0|pauf|pronax|twist|znajder,133,71,3
2016,Gambit,Gambit Esports,AdreN|Dosia|hooch|mou|spaze,159,37,3
2016,HellRaisers,HellRaisers,ANGE1|DeadFox|STYKO|Zero|bondik,108,68,6
2016,Immortals,Immortals,HEN1|LUCAS1|boltz|felps|steel,58,19,2
2016,Liquid,Team Liquid,EliGE|Hiko|Pimp|jdm64|nitr0,200,69,5
2016,Luminosity,Luminosity Gaming,FalleN|TACO|coldzera|fer|fnx,183,50,3
2016,MOUZ,MOUZ,NiKo|Spiidi|chrisJ|denis|nex,234,148,2
2016,Natus Vincere,Natus Vincere,Edward|GuardiaN|Zeus|flamie|seized,216,61,2
2016,Ninjas in Pyjamas,Ninjas in Pyjamas,GeT_RiGhT|Xizt|f0rest|friberg|pyth,297,126,1
2016,OpTic,OpTic Gaming,NAF|RUSH|daps|mixwell|stanislaw,128,33,4
2016,Tempo Storm,Tempo Storm,HEN1|LUCAS1|SHOOWTiME|boltz|felps,113,37,1
2016,Virtus.pro,Virtus.pro,NEO|Snax|TaZ|byali|pashaBiceps,366,102,1
2016,fnatic,Fnatic,JW|KRIMZ|dennis|flusha|olofmeister,98,128,4
2017,Astralis,Astralis,Kjaerbye|Xyp9x|dev1ce|dupreeh|gla1ve,365,65,1
2017,BIG,BIG,LEGIJA|gob b|keev|nex|tabseN,364,73,1
2017,CLG,Counter Logic Gaming,FNS|Rickeh|koosta|nahtE|reltuC,270,16,2
2017,Cloud9,Cloud9,Skadoodle|Stewie2K|autimatic|n0thing|shroud,226,79,2
2017,Envy,Team Envy,Happy|RpK|SIXER|ScreaM|xms,314,43,3
2017,FaZe,FaZe Clan,NiKo|allu|karrigan|kioShiMa|rain,165,57,4
2017,G2,G2 Esports,NBK-|apEX|bodyy|kennyS|shox,331,84,2
2017,Gambit,Gambit Esports,AdreN|Dosia|Hobbit|Zeus|mou,220,37,2
2017,HEROIC,HEROIC,JUGi|MODDII|Snappi|es3tag|niko,209,93,3
2017,HellRaisers,HellRaisers,ANGE1|DeadFox|STYKO|Zero|bondik,220,68,1
2017,Liquid,Team Liquid,EliGE|Twistzz|jdm64|nitr0|stanislaw,213,69,4
2017,MOUZ,MOUZ,STYKO|chrisJ|oskar|ropz|suNny,145,148,4
2017,Natus Vincere,Natus Vincere,Edward|GuardiaN|flamie|s1mple|seized,209,61,3
2017,Ninjas in Pyjamas,Ninjas in Pyjamas,GeT_RiGhT|REZ|Xizt|draken|f0rest,153,126,3
2017,North,North,MSL|Magisk|RUBINO|aizy|cajunb,1,33,1
2017,OpTic,OpTic Gaming,HS|Magisk|allu|friberg|mixwell,121,33,4
2017,Renegades,Renegades,AZR|Nifty|USTILO|jks|nexa,127,37,4
2017,SK,SK Gaming,FalleN|TACO|coldzera|felps|fer,267,98,2
2017,Virtus.pro,Virtus.pro,NEO|Snax|TaZ|byali|pashaBiceps,365,102,1
2017,fnatic,Fnatic,JW|KRIMZ|dennis|flusha|olofmeister,196,128,3
2018,AGO,AGO esports,Furlan|GruBy|TOAO|phr|snatchie,214,58,3
2018,Astralis,Astralis,Magisk|Xyp9x|dev1ce|dupreeh|gla1ve,328,65,2
2018,BIG,BIG,gob b|nex|smooya|tabseN|tiziaN,246,73,3
2018,Cloud9,Cloud9,RUSH|Skadoodle|Stewie2K|autimatic|tarik,89,79,5
2018,ENCE,ENCE,Aerial|Aleksib|allu|sergej|xseveN,272,92,1
2018,FaZe,FaZe Clan,GuardiaN|NiKo|karrigan|olofmeister|rain,259,57,1
