year,player_id,nick,nationality,team_ids,teams,maps,rounds,kd_diff,kd,rating,rating_version,ranking_filter,date_range
2015,2757,GuardiaN,Slovakia,4608,Natus Vincere,94,2487,+430,1.27,1.18,Rating 1.0,Top20,2015-01-01..2015-12-31
2015,3741,NiKo,Bosnia and Herzegovina,4494,MOUZ,65,1721,+171,1.14,1.15,Rating 1.0,Top20,2015-01-01..2015-12-31
2015,7592,device,Denmark,6548|5996,?,120,3150,+380,1.18,1.14,Rating 1.0,Top20,2015-01-01..2015-12-31
2015,798,oskar,Czech Republic,5310,HellRaisers,62,1648,+176,1.16,1.14,Rating 1.0,Top20,2015-01-01..2015-12-31
2015,7998,s1mple,Ukraine,5310,HellRaisers,35,904,+99,1.16,1.13,Rating 1.0,Top20,2015-01-01..2015-12-31
2015,7167,kennyS,France,5991,Envy,95,2504,+336,1.22,1.13,Rating 1.0,Top20,2015-01-01..2015-12-31
2015,885,olofmeister,Sweden,4991,fnatic,115,2929,+306,1.15,1.11,Rating 1.0,Top20,2015-01-01..2015-12-31
2015,29,f0rest,Sweden,4411,Ninjas in Pyjamas,71,1826,+145,1.12,1.11,Rating 1.0,Top20,2015-01-01..2015-12-31
2015,8183,rain,Norway,5995|6134,G2|Kinguin,74,1987,+116,1.08,1.11,Rating 1.0,Top20,2015-01-01..2015-12-31
2015,8095,aizy,Denmark,5995|5422,G2|Dignitas,78,2016,+153,1.11,1.10,Rating 1.0,Top20,2015-01-01..2015-12-31
2015,7528,KRIMZ,Sweden,4991,fnatic,112,2883,+334,1.19,1.10,Rating 1.0,Top20,2015-01-01..2015-12-31
2015,7429,Happy,France,5991,Envy,98,2496,+259,1.16,1.10,Rating 1.0,Top20,2015-01-01..2015-12-31
2015,973,SZPERO,Poland,6372,CSGL,51,1349,+94,1.10,1.10,Rating 1.0,Top20,2015-01-01..2015-12-31
2015,7403,WorldEdit,Russia,5988,FlipSid3,50,1367,+130,1.14,1.09,Rating 1.0,Top20,2015-01-01..2015-12-31
2015,9216,coldzera,Brazil,6290,Luminosity,72,1884,+149,1.11,1.08,Rating 1.0,Top20,2015-01-01..2015-12-31
2015,7594,flamie,Russia,4608,Natus Vincere,94,2516,+221,1.13,1.08,Rating 1.0,Top20,2015-01-01..2015-12-31
2015,7687,nitr0,United States,5973,Liquid,78,2100,+114,1.08,1.08,Rating 1.0,Top20,2015-01-01..2015-12-31
2015,9078,k0nfig,Denmark,5422,Dignitas,32,881,+47,1.08,1.07,Rating 1.0,Top20,2015-01-01..2015-12-31
2015,3055,flusha,Sweden,4991,fnatic,117,3009,+211,1.11,1.07,Rating 1.0,Top20,2015-01-01..2015-12-31
2015,7440,Skadoodle,United States,5752,Cloud9,37,967,+84,1.14,1.07,Rating 1.0,Top20,2015-01-01..2015-12-31
2015,334,AdreN,Kazakhstan,5310|4742,HellRaisers|Nostalgie,24,622,+39,1.09,1.07,Rating 1.0,Top20,2015-01-01..2015-12-31
2015,8346,jdm64,United States,5974,CLG,53,1374,+87,1.10,1.06,Rating 1.0,Top20,2015-01-01..2015-12-31
2015,39,GeT_RiGhT,Sweden,4411,Ninjas in Pyjamas,75,1963,+132,1.10,1.06,Rating 1.0,Top20,2015-01-01..2015-12-31
2015,8412,dream3r,Bulgaria,6226,E-frag.net,53,1356,+77,1.08,1.05,Rating 1.0,Top20,2015-01-01..2015-12-31
