player_id,nick,years,n_years,best_rating,teams
7998,s1mple,2015-2023,9,92,HellRaisers|Liquid|Natus Vincere
21167,donk,2024-2025,2,90,Spirit
11893,ZywOo,2019-2025,7,89,Vitality
19230,m0NESY,2022-2025,4,83,Falcons|G2
16920,sh1ro,2021-2025,5,78,Cloud9|Gambit|Players|Spirit
7938,XANTARES,2017-2025,7,77,Aurora|BIG|Eternal Fire|Space Soldiers
2757,GuardiaN,2015-2019,5,76,FaZe|Natus Vincere
3741,NiKo,2015-2025,11,76,FaZe|Falcons|G2|MOUZ
7592,device,2015-2025,10,75,?|Astralis
9216,coldzera,2015-2021,7,75,FaZe|Luminosity|MIBR|SK
15165,blameF,2019-2023,5,73,Astralis|Complexity|HEROIC
798,oskar,2015-2018,4,72,HellRaisers|MOUZ
8564,fer,2015-2022,7,72,Imperial|Luminosity|MIBR|SK
16555,Ax1Le,2021-2023,3,71,Cloud9|Gambit|Players
8738,EliGE,2015-2025,11,70,Complexity|Liquid
8918,electroNic,2017-2025,9,70,Cloud9|FlipSid3|Natus Vincere|Virtus.pro
7167,kennyS,2015-2020,6,69,Envy|G2
8574,woxic,2018-2025,5,69,Aurora|Eternal Fire|HellRaisers|MOUZ
13776,Jame,2019-2024,6,69,AVANGAR|Outsiders|Virtus.pro
15631,KSCERATO,2019-2025,7,69,FURIA
9960,frozen,2019-2025,7,69,FaZe|MOUZ
885,olofmeister,2015-2021,7,68,FaZe|fnatic
8183,rain,2015-2025,11,68,FaZe|G2|Kinguin
7398,dupreeh,2015-2024,10,68,?|Astralis|Falcons|HEROIC
8528,HObbit,2017-2023,5,68,Cloud9|Gambit|HellRaisers|Players
5794,tabseN,2017-2024,8,67,BIG
11816,ropz,2017-2025,9,67,FaZe|MOUZ|Vitality
10671,Ethan,2017-2020,4,67,CLG|Evil Geniuses|NRG
3972,huNter-,2019-2025,7,67,CR4ZY|G2|Valiance
18221,Spinx,2021-2025,5,67,ENCE|MOUZ|Vitality
7528,KRIMZ,2015-2023,9,66,GODSENT|fnatic
1225,shox,2015-2021,7,66,G2|Titan|Vitality
10994,stavn,2019-2025,7,66,Astralis|HEROIC
29,f0rest,2015-2019,5,65,Ninjas in Pyjamas
7429,Happy,2015-2017,3,65,Envy
7390,ScreaM,2015-2018,4,65,Envy|G2|Kinguin|Titan
9032,Magisk,2015-2025,11,65,Astralis|Dignitas|Falcons|OpTic
8520,NAF,2015-2025,11,65,Conquest|Liquid|OpTic|Renegades
8565,HEN1,2016-2024,4,65,FURIA|Immortals|Imperial|Tempo Storm
10394,Twistzz,2017-2025,9,65,FaZe|Liquid
18987,b1t,2021-2025,5,65,Natus Vincere
8095,aizy,2015-2019,5,64,Dignitas|FaZe|G2|North
3055,flusha,2015-2020,6,64,Cloud9|GODSENT|fnatic
8789,mir,2018-2023,4,64,Gambit|Spirit|Vega Squadron|Virtus.pro
19206,jL,2023-2025,3,64,Apeks|Natus Vincere
7594,flamie,2015-2020,6,63,Natus Vincere
2023,FalleN,2015-2025,11,63,FURIA|Imperial|Liquid|Luminosity
8735,autimatic,2016-2020,4,63,Cloud9|Gen.G
9618,nexa,2019-2024,5,63,CR4ZY|G2|OG|Valiance
12553,yuurih,2019-2025,7,63,FURIA
18053,broky,2019-2025,7,63,FaZe
14419,roeJ,2020-2023,4,63,Copenhagen Flames|MAD Lions|fnatic
13915,YEKINDAR,2021-2025,5,63,FURIA|Liquid|Outsiders|Virtus.pro
18850,Jimpphat,2023-2025,3,63,MOUZ
973,SZPERO,2015-2015,1,62,CSGL
7687,nitr0,2015-2023,8,62,Liquid
9078,k0nfig,2015-2023,9,62,Astralis|Complexity|Dignitas|Ninjas in Pyjamas
9031,valde,2016-2022,7,62,ENCE|North|OG|X
