team,year,roster,igl_guess,igl_candidates,awp_guess,awp_candidates,igl_confirmed,awp_confirmed
Astralis,2018,"Magisk, Xyp9x, device, dupreeh, gla1ve",,,device,,,
Natus Vincere,2018,"Edward, Zeus, electroNic, flamie, s1mple",,,s1mple,,,
Liquid,2018,"EliGE, NAF, TACO, Twistzz, nitr0",,TACO|Twistzz|nitr0,,,,
MIBR,2018,"FalleN, Stewie2K, coldzera, fer, tarik",,FalleN|Stewie2K,coldzera,,,
NRG,2018,"Brehze, CeRq, Ethan, FugLy, daps",,,CeRq,,,
FaZe,2018,"GuardiaN, NiKo, karrigan, olofmeister, rain",,karrigan|rain,,,,
North,2018,"Kjaerbye, MSL, aizy, mertz, valde",,Kjaerbye|MSL|valde,mertz,,,
MOUZ,2018,"STYKO, chrisJ, oskar, ropz, suNny",chrisJ,,,,,
Space Soldiers,2018,"Calyx, MAJ3R, XANTARES, ngiN, paz",MAJ3R,,,,,
Cloud9,2018,"RUSH, Skadoodle, Stewie2K, autimatic, tarik",,RUSH|Stewie2K,Skadoodle,,,
GODSENT,2018,"Brollan, disco doplan, freddieb, hampus, twist",,Brollan|disco doplan|hampus|twist,,,,
HellRaisers,2018,"ANGE1, DeadFox, ISSAA, bondik, woxic",,ANGE1|ISSAA|bondik,,DeadFox|woxic,,
OpTic,2018,"JUGi, Snappi, cajunb, k0nfig, niko",Snappi,,,JUGi|k0nfig,,
Ninjas in Pyjamas,2018,"GeT_RiGhT, Lekr0, REZ, dennis, f0rest",,Lekr0|dennis,REZ,,,
fnatic,2018,"Golden, JW, KRIMZ, Lekr0, flusha",Lekr0,,JW,,,
HEROIC,2018,"AcilioN, MODDII, es3tag, friberg, mertz",es3tag,,mertz,,,
Gambit,2018,"AdreN, Dosia, HObbit, mou, seized",,Dosia|seized,,,,
AGO,2018,"Furlan, GruBy, TOAO, phr, snatchie",,TOAO|phr,,,,
G2,2018,"Ex6TenZ, SmithZz, bodyy, kennyS, shox",Ex6TenZ,,,SmithZz|kennyS,,
Renegades,2018,"AZR, Nifty, USTILO, jkaem, jks",Nifty,,Nifty,,,
Virtus.pro,2018,"MICHU, NEO, Snax, byali, pashaBiceps",,Snax|byali,pashaBiceps,,,
