year,team,roster,liquipedia_candidates,awp
2025,HEROIC,"Alkaren, LNZ, nilo, xfl0ud, yxngstxr",(none active),
2024,9z,"HUASOPEEK, Martinez, buda, dgt, max",(none active),
2021,FURIA,"KSCERATO, VINI, arT, drop, yuurih",(none active),
2021,G2,"amanek, JACKZ, NiKo, huNter-, nexa",(none active),
2020,Liquid,"EliGE, NAF, Stewie2K, Twistzz, nitr0",(none active),
2020,Spirit,"chopper, iDISBALANCE, magixx, mir, sdy",iDISBALANCE,
2019,FURIA,"KSCERATO, VINI, ableJ, arT, yuurih",(none active),
2019,HEROIC,"NaToSaphiX, blameF, es3tag, friberg, stavn",stavn,
2019,Liquid,"EliGE, NAF, Stewie2K, Twistzz, nitr0",(none active),
2019,Ninjas in Pyjamas,"GeT_RiGhT, Lekr0, REZ, dennis, f0rest",REZ,
2018,Gambit,"AdreN, Dosia, HObbit, mir, mou",(none active),
2018,Liquid,"EliGE, NAF, TACO, Twistzz, nitr0",(none active),
2018,Ninjas in Pyjamas,"GeT_RiGhT, Lekr0, REZ, dennis, f0rest",REZ,
2018,Space Soldiers,"Calyx, MAJ3R, XANTARES, ngiN, paz",(none active),
2017,Gambit,"AdreN, Dosia, HObbit, Zeus, mou",(none active),
2017,HellRaisers,"ANGE1, DeadFox, STYKO, Zero, bondik",(none active),
2017,North,"MSL, Magisk, RUBINO, aizy, cajunb",(none active),
2016,Gambit,"AdreN, Dosia, hooch, mou, spaze",(none active),
2016,HellRaisers,"ANGE1, DeadFox, STYKO, Zero, bondik",(none active),
2016,Ninjas in Pyjamas,"GeT_RiGhT, Xizt, f0rest, friberg, pyth",(none active),
2015,CSGL,"Loord, MICHU, SZPERO, innocent, oskarish",(none active),
2015,Dignitas,"Kjaerbye, MSL, Nico, Pimp, aizy",(none active),
2015,E-frag.net,"bubble, dream3r, nkl, spyleadeR, v1c7oR",(none active),
2015,G2,"MICHU, MINISE, SZPERO, innocent, mouz",(none active),
2015,HellRaisers,"ANGE1, AdreN, Dosia, kUcheR, mou",(none active),
2015,Liquid,"EliGE, FugLy, Hiko, adreN, nitr0",(none active),
2015,SK,"AcilioN, BERRY, Friis, SandeN, TENZKI",(none active),
2015,Vexed,"Furlan, GruBy, Hyper, peet, rallen",rallen,
