year,team,roster,igl
2015,CSGL,"Loord, MICHU, SZPERO, innocent, oskarish",
2015,E-frag.net,"bubble, dream3r, nkl, spyleadeR, v1c7oR",
2015,G2,"MICHU, MINISE, SZPERO, innocent, mouz",
2015,Liquid,"EliGE, FugLy, Hiko, adreN, nitr0",
2016,Liquid,"EliGE, Hiko, Pimp, jdm64, nitr0",
2016,Tempo Storm,"HEN1, LUCAS1, SHOOWTiME, boltz, felps",
2017,OpTic,"HS, Magisk, allu, friberg, mixwell",
2020,Evil Geniuses,"Brehze, CeRq, Ethan, stanislaw, tarik",
2021,Evil Geniuses,"Brehze, CeRq, MICHU, oBo, stanislaw",
2022,FORZE,"Jerry, KENSi, Norwi, shalfey, zorte",
2023,9INE,"Goofy, KEi, Kylar, hades, mynio",
2023,Monte,"DemQQ, Woro2k, br0, kRaSnaL, sdy",
2024,Astralis,"Staehr, br0, dev1ce, jabbi, stavn",
2024,Imperial,"HEN1, VINI, decenty, felps, noway",
2024,MIBR,"brnz4n, drop, exit, insani, saffee",
2024,SAW,"MUTiRiS, arrozdoce, ewjerkz, rmn, story",
2025,Eternal Fire,"Calyx, EMSTAR, imoRR, jresy, lugseN",
2025,G2,"HeavyGod, SunPayus, huNter-, malbsMd, matys",
2025,GamerLegion,"PR, REZ, Tauson, sl3nd, ztr",
2025,HEROIC,"Alkaren, LNZ, nilo, xfl0ud, yxngstxr",
2025,Legacy,"dumau, latto, lux, n1ssim, saadzin",
2025,MIBR,"Lucaozy, brnz4n, exit, insani, saffee",
2025,MOUZ,"Brollan, Jimpphat, Spinx, torzsi, xertioN",
