nick,slots,nationality,peak_rating,existing,position
NiKo,11,Bosnia and Herzegovina,77,,
NAF,10,Canada,65,,
rain,10,Norway,68,,
EliGE,10,United States,70,,
FalleN,9,Brazil,64,awp|igl,
apEX,9,France,55,,
KRIMZ,9,Sweden,65,,
device,9,Denmark,75,awp,
karrigan,9,Denmark,37,igl,
Twistzz,9,Canada,66,,
ropz,9,Estonia,68,,
Magisk,9,Denmark,65,awp,
shox,8,France,67,,
s1mple,8,Ukraine,92,,
nitr0,8,United States,62,,
dupreeh,8,Denmark,68,,
electroNic,8,Russia,72,,
huNter-,8,Bosnia and Herzegovina,68,,
JW,7,Sweden,56,awp,
olofmeister,7,Sweden,66,,
Xyp9x,7,Denmark,61,,
Stewie2K,7,United States,59,,
Snappi,7,Denmark,44,igl,
Aleksib,7,Finland,48,igl,
KSCERATO,7,Brazil,69,,
stanislaw,6,Canada,45,,
AdreN,6,Kazakhstan,54,,
coldzera,6,Brazil,77,,
chrisJ,6,Netherlands,57,awp,
flamie,6,Russia,62,,
kennyS,6,France,69,awp,
STYKO,6,Slovakia,53,,
gla1ve,6,Denmark,61,igl,
tabseN,6,Germany,65,,
HObbit,6,Kazakhstan,67,,
REZ,6,Sweden,59,,
nexa,6,Serbia,64,,
Brollan,6,Sweden,57,,
FL1T,6,Russia,61,,
yuurih,6,Brazil,65,,
frozen,6,Slovakia,70,,
ZywOo,6,France,90,awp,
sh1ro,6,Russia,79,awp,
tarik,5,United States,52,,
NBK-,5,France,57,,
dennis,5,Sweden,62,,
fer,5,Brazil,73,,
Edward,5,Ukraine,49,,
GuardiaN,5,Slovakia,76,awp,
Zeus,5,Ukraine,43,igl,
GeT_RiGhT,5,Sweden,60,,
allu,5,Finland,55,awp,
f0rest,5,Sweden,66,,
friberg,5,Sweden,45,,
RpK,5,France,53,,
Snax,5,Poland,58,,
flusha,5,Sweden,64,,
k0nfig,5,Denmark,60,,
felps,5,Brazil,53,,
woxic,5,Türkiye,70,awp,
XANTARES,5,Türkiye,75,,
Jame,5,Russia,70,awp|igl,
arT,5,Brazil,49,igl,
stavn,5,Denmark,61,,
broky,5,Latvia,62,awp,
TeSeS,5,Denmark,54,,
chopper,5,Russia,45,igl,
magixx,5,Russia,50,,
jabbi,5,Denmark,57,,
b1t,5,Ukraine,65,,
MICHU,4,Poland,55,,
Skadoodle,4,United States,56,awp,
RUSH,4,United States,53,,
daps,4,Canada,42,igl,
Kjaerbye,4,Denmark,62,,
MSL,4,Denmark,40,igl,
aizy,4,Denmark,65,,
bondik,4,Ukraine,55,,
ANGE1,4,Ukraine,54,igl,
Dosia,4,Russia,44,,
mou,4,Kazakhstan,52,,
nex,4,Germany,57,,
Xizt,4,Sweden,48,igl,
NEO,4,Poland,47,,
byali,4,Poland,51,,
pashaBiceps,4,Poland,51,awp,
cajunb,4,Denmark,60,,
jkaem,4,Norway,58,,
bodyy,4,France,49,,
Lekr0,4,Sweden,51,,
twist,4,Sweden,57,,
HEN1,4,Brazil,67,awp,
TACO,4,Brazil,45,,
jks,4,Australia,60,,
mir,4,Russia,62,,
Brehze,4,United States,62,,
CeRq,4,Bulgaria,60,awp,
VINI,4,Brazil,43,,
JACKZ,4,France,46,,
blameF,4,Denmark,73,igl,
sjuush,4,Denmark,52,,
Maden,4,Montenegro,51,awp,
cadiaN,4,Denmark,54,awp|igl,
Perfecto,4,Russia,51,,
sdy,4,Ukraine,54,,
HooXi,4,Denmark,42,igl,
nicoodoz,4,Denmark,52,awp,
roeJ,4,Denmark,59,,
Spinx,4,Israel,60,,
Ax1Le,4,Russia,73,,
nafany,4,Russia,50,igl,
flameZ,4,Israel,60,,
m0NESY,4,Russia,83,awp,
torzsi,4,Hungary,55,awp,
SunPayus,4,Spain,64,awp,
fame,4,Russia,54,,
mezii,4,United Kingdom,56,,
jdm64,3,United States,58,awp,
reltuC,3,United States,45,,
n0thing,3,United States,49,,
shroud,3,Canada,56,,
Happy,3,France,65,igl,
SmithZz,3,France,38,awp,
kioShiMa,3,France,49,,
ScreaM,3,Belgium,66,,
boltz,3,Brazil,57,,
gob b,3,Germany,38,igl,
seized,3,Russia,55,,
TaZ,3,Poland,45,igl,
koosta,3,United States,49,awp,
DeadFox,3,Hungary,42,awp,
autimatic,3,United States,60,,
JUGi,3,Denmark,59,awp,
es3tag,3,Denmark,56,,
niko,3,Denmark,53,,
AZR,3,Australia,47,igl,
tiziaN,3,Germany,44,,
hampus,3,Sweden,53,igl,
Ethan,3,United States,69,,
valde,3,Denmark,62,,
Calyx,3,Türkiye,56,,
MAJ3R,3,Türkiye,45,igl,
Golden,3,Sweden,34,igl,
