nick,liquipedia,my_labels,decision
Brollan,igl|entry,-,
DEVIL,igl|rifle,-,
HS,igl|entry,-,
ISSAA,igl|lurk,-,
Jackinho,igl|rifle,-,
Jerry,igl|entry,-,
Keoz,igl|rifle,-,
Kjaerbye,igl|entry,-,
Krad,igl|lurk,-,
Krimbo,lurk|igl,-,
LNZ,igl,-,
LUCAS1,igl|rifle,-,
Maka,igl|awp,igl,
Mercury,igl|rifle,-,
Moseyuh,igl|rifle,-,
NiKo,entry,igl,
NickelBack,igl|rifle,-,
Norwi,igl|rifle,-,
Patsi,rifle|igl,-,
Perfecto,igl|rifle,-,
Qikert,igl|rifle,-,
REZ,rifle|awp,-,
Senzu,rifle|awp,-,
TACO,igl|support,-,
TOAO,igl|entry,-,
Twistzz,igl|rifle,-,
VINI,igl|support,-,
WorldEdit,awp|rifle,-,
alex666,igl|rifle,-,
almazer,rifle,igl,
bondik,igl|lurk,-,
buster,rifle|awp,-,
byali,igl|entry,-,
coldzera,lurk|awp,-,
dgt,lurk,igl,
drop,igl|rifle,-,
electroNic,entry,igl,
es3tag,igl|support,-,
exit,igl|lurk,-,
facecrack,igl|entry,-,
fox,igl|awp,igl,
huNter-,igl|lurk,-,
iDISBALANCE,awp|entry,-,
innocent,igl|entry,-,
kNgV-,igl|awp,-,
latto,rifle|awp,-,
lux,igl|rifle,-,
magixx,igl,-,
mir,igl,-,
mynio,igl|rifle,-,
phr,igl|rifle,-,
rain,igl|entry,-,
rallen,lurk|awp,-,
sdy,rifle|igl,-,
shalfey,igl,-,
shox,support|lurk,igl,
stavn,rifle|awp,-,
tabseN,rifle,igl,
twist,igl|support,-,
valde,igl|lurk,-,
xertioN,igl|entry,-,
ztr,igl|rifle,-,
